Srl. No.,COMPANY NAME,CATEGORY
421,AIMS MIGITAL TECHNOVATIONS PRIVATE LIMITED,C1000
422,AIR INDIA ENGINEERING SERVICES LIMITED,C1000
423,AIR WORKS,C1000
424,AIR WORLDWIDE INDIA PRIVATE LIMITED,C1000
425,AIRCOM INTERNATIONAL INDIA PRIVATE LIMITED,C1000
426,AIRON TECHNICAL SOLUTIONS INDIA PRIVATE LIMITED,C1000
427,AIROVIENT FANS AND SYSTEMS PRIVATE LIMITED,C1000
428,AIRTIGHT NETWORKS PRIVATE LIMITED,C1000
429,AIRVANA NETWORKS INDIA PRIVATE LIMITED,C1000
430,AISHANI ELECTRONICS PRIVATE LIMITED,C1000
431,AJAYRAJ CONSTRUCTIONS PRIVATE LIMITED,C1000
432,AJCON GLOBAL SERVICES LIMITED,C1000
433,AJNI INDUSTRIES PRIVATE LIMITED,C1000
434,AKBAR HOLIDAYS PRIVATE LIMITED,C1000
435,AKBAR ONLINE BOOKING COMPANY PRIVATE LIMITED,C1000
436,AKER POWERGAS PRIVATE LIMITED,C1000
437,AKSH OPTIFIBRE,C1000
438,AKTIS ENGINEERING SOLUTIONS PRIVATE LIMITED,C1000
439,AKUMENTIS HEALTHCARE LIMITED,C1000
440,ALBION INFOTEL PRIVATE LIMITED,C1000
441,ALCOB INDIA PRIVATE LIMITED,C1000
442,ALCON BIOSCIENCES PRIVATE LIMITED,C1000
443,ALFA LAVAL SUPPORT SERVICES PRIVATE LIMITED,C1000
444,ALFARA A INFRAPROJECTS PRIVATE LIMITED,C1000
445,ALIA PREMEDIA SERVICES PRIVATE LIMITED,C1000
446,ALKALOIDS PRIVATE LIMITED,C1000
447,ALL SCRIPTS INDIA PRIVATE LIMITED,C1000
448,ALLIANCE INSURANCE BROKERS PRIVATE LIMITED,C1000
449,ALLIANCE LUMIERE LIMITED,C1000
450,ALLIED ENERGY SYSTEMS PRIVATE LIMITED,C1000
451,ALLIED FERROMELT PRIVATE LIMITED,C1000
452,ALLIED WORLDWIDE BUSINESS SOLUTIONS PRIVATE LIMITED,C1000
453,ALLSCRIPTS  INDIA PRIVATE LIMITED,C1000
454,ALLZONE MANAGEMENT SOLUTIONS PRIVATE LIMITED,C1000
455,ALM ENGINEERING AND INSTRUMENTATION PRIVATE LIMITED,C1000
456,ALMIGHTY AUTO ANCILLARY PRIVATE LIMITED,C1000
457,ALMIGHTY INTERNATIONAL LOGISTICS INDIA PRIVATE LIMITED,C1000
458,ALMONDZ GLOBAL SECURITIES LIMITED,C1000
459,ALOHA TECHNOLOGY PRIVATE LIMITED,C1000
460,ALP CONSULTING LIMITED,C1000
461,ALPHA ANALYTICS SERVICES PRIVATE LIMITED,C1000
462,ALSTRONG ENTERPRISES INDIA PRIVATE LIMITED,C1000
463,ALTAIR ELECTRONICS LIMITED,C1000
464,ALTAMOUNT CAPITAL MANAGEMENT PRIVATE LIMITED,C1000
465,ALTEM TECHNOLOGIES PRIVATE LIMITED,C1000
466,ALTIUS CUSTOMER SERVICES PRIVATE LIMITED,C1000
467,ALUMAYER INDIA PVT.LTD,C1000
468,ALUMNUS SOFTWARE LIMITED,C1000
469,ALVI TECH SERVICES PRIVATE LIMITED,C1000
470,AMAR CHITRA KATHA PRIVATE LIMITED,C1000
471,AMARCHAND & MANGALDAS & SURESH A. SHROFF & CO. (AMARCHAND MANGALDAS) ,C1000
472,AMAZON DEVELOPMENT CENTRE INDIA PRIVATE LIMITED,C1000
473,AMAZON TRANSPORTATION SERVICES PRIVATE LIMITED,C1000
474,AMBADI ENTERPRISES LIMITED,C1000
475,AMBER ROAD SOFTWARE PRIVATE LIMITED,C1000
476,AMBERG ENGINEERING INDIA PRIVATE LIMITED,C1000
477,AMBIENT CONTROLS PRIVATE LIMITED,C1000
478,AMD RESEARCH AND DEVELOPMENT CENTER INDIA PRIVATE LIMITED,C1000
479,AMERICAN APPRAISAL INDIA PRIVATE LIMITED,C1000
480,AMERICAN HOME MORTGAGE SERVICING INDIA PRIVATE LIMITED,C1000
481,AMERIPRISE INDIA PRIVATE LIMITED,C1000
482,AMI INDIA LOGISTICS PRIVATE LIMITED,C1000
483,AMICORP ADVISORY SERVICES PRIVATE LIMITED,C1000
484,AMICORP MANAGEMENT INDIA PRIVATE LIMITED,C1000
485,AMIGO SPORT PRIVATE LIMITED,C1000
486,AMIT CAPACITORS LIMITED,C1000
487,AMJ NARROW FABRICS PRIVATE LIMITED - DELISTED,C1000
488,AMMANARUL SPINNERS PRIVATE LIMITED,C1000
489,AMRA REMEDIES LIMITED ,C1000
490,AMRAPALI SILICON CITY PRIVATE LIMITED,C1000
491,AMRAPALI TRAVELS PRIVATE LIMITED,C1000
492,AMRAPALI ZODIAC DEVELOPERS PRIVATE LIMITED,C1000
493,AMRIT RAJ INFRAPROJECTS PRIVATE LIMITED,C1000
494,AMRITA VISHWAVIDYA PEETAM,C1000
495,AMSURE INSURANCE AGENCY LIMITED,C1000
496,AMVENSYS TECHNOLOGIES PRIVATE LIMITED,C1000
497,AMZUR TECHNOLOGIES PRIVATE LIMITED,C1000
498,ANALEC INFOTECH PRIVATE LIMITED,C1000
499,ANAND AND ANAND,C1000
500,ANAND ENGINEERS PRIVATE LIMITED,C1000
501,ANAND PULP IMPEX PRIVATE LIMITED,C1000
502,ANAND RATHI FINANCIAL SERVICES LIMITED.,C1000
503,ANANDA OFFSET PRIVATE LIMITED,C1000
504,AND DATA INDIA PRIVATE LIMITED,C1000
505,ANDREAS STIHL PRIVATE LIMITED,C1000
506,ANDROMEDA BPO PRIVATE LIMITED,C1000
507,ANDROMEDA SALES AND DISTRIBUTION PRIVATE LIMITED,C1000
508,ANG INDIA LIMITED,C1000
509,ANGEL BROKING,C1000
510,ANIL HOSPITALITY VENTURES LIMITED,C1000
511,ANIL SPECIAL STEEL INDUSTRIES LIMITED,C1000
512,ANIXTER INDIA PRIVATE LIMITED,C1000
513,ANJ TURNKEY PROJECTS PRIVATE LIMITED,C1000
514,ANJANA SOFTWARE SOLUTIONS PRIVATE LIMITED,C1000
515,ANMOL FEEDS PRIVATE LIMITED,C1000
516,ANMOL POLYMERS PRIVATE LIMITED,C1000
517,ANMOL SOLUTIONS PRIVATE LIMITED,C1000
518,ANNIK TECHNOLOGY SERVICES PRIVATE LIMITED,C1000
519,ANSHIN SOFTWARE PRIVATE LIMITED,C1000
520,ANSR SOURCE INDIA PRIVATE LIMITED,C1000
521,ANSYS SOFTWARE PRIVATE LIMITED,C1000
522,ANTAEUS RENT A CAR PRIVATE LIMITED,C1000
523,ANTFARM BUSINESS INCUBATOR PRIVATE LIMITED,C1000
